Area,Variable Name,Year,Value
Albania,Human Development Index (HDI) [highest = 1] (-),1992,0.608
Albania,Agricultural water withdrawal as % of total water withdrawal (%),1992,73.33806482
Albania,Urban population with access to safe drinking-water (JMP) (%),1992,100
Albania,GDP per capita (current US$/inhab),1997,719.244989
Albania,"Agriculture, value added (% GDP) (%)",1997,31.543343
Albania,Human Development Index (HDI) [highest = 1] (-),1997,0.639
Albania,Agricultural water withdrawal as % of total water withdrawal (%),1997,57.74366288
Albania,Total population with access to safe drinking-water (JMP) (%),1997,95.8
Albania,Urban population with access to safe drinking-water (JMP) (%),1997,100
Albania,GDP per capita (current US$/inhab),2002,1396.545492
Albania,"Agriculture, value added (% GDP) (%)",2002,22.025174
Albania,Human Development Index (HDI) [highest = 1] (-),2002,0.68
Albania,Agricultural water withdrawal as % of total water withdrawal (%),2002,52.86449565
Albania,Total population with access to safe drinking-water (JMP) (%),2002,96.1
Albania,Urban population with access to safe drinking-water (JMP) (%),2002,99.5
Albania,GDP per capita (current US$/inhab),2007,3530.969114
Albania,"Agriculture, value added (% GDP) (%)",2007,17.153623
Albania,Human Development Index (HDI) [highest = 1] (-),2007,0.718
Albania,Agricultural water withdrawal as % of total water withdrawal (%),2007,41.89142298
Albania,Total population with access to safe drinking-water (JMP) (%),2007,95.9
Albania,Urban population with access to safe drinking-water (JMP) (%),2007,97.6
Albania,GDP per capita (current US$/inhab),2012,4219.046254
Albania,"Agriculture, value added (% GDP) (%)",2012,18.766799
Albania,Human Development Index (HDI) [highest = 1] (-),2012,0.771
Albania,Agricultural water withdrawal as % of total water withdrawal (%),2012,50.12590033
Albania,Total population with access to safe drinking-water (JMP) (%),2012,95.4
Albania,Urban population with access to safe drinking-water (JMP) (%),2012,95.7
Albania,GDP per capita (current US$/inhab),2017,4445.132198
Albania,"Agriculture, value added (% GDP) (%)",2017,19.01433
Albania,Human Development Index (HDI) [highest = 1] (-),2017,0.789
Albania,Agricultural water withdrawal as % of total water withdrawal (%),2017,63.74137202
Albania,Total population with access to safe drinking-water (JMP) (%),2017,95.1
Albania,Urban population with access to safe drinking-water (JMP) (%),2017,94.9
Albania,GDP per capita (current US$/inhab),1972,1063.749953
Albania,"Agriculture, value added (% GDP) (%)",1972,38.178962
Albania,GDP per capita (current US$/inhab),1977,1096.460184
Albania,"Agriculture, value added (% GDP) (%)",1977,38.318367
Albania,GDP per capita (current US$/inhab),1982,817.850818
Albania,"Agriculture, value added (% GDP) (%)",1982,36.800789
Albania,GDP per capita (current US$/inhab),1987,761.91567
Albania,"Agriculture, value added (% GDP) (%)",1987,38.54186
Algeria,GDP per capita (current US$/inhab),1992,1806.60696
Algeria,"Agriculture, value added (% GDP) (%)",1992,12.099304
Algeria,Human Development Index (HDI) [highest = 1] (-),1992,0.589
Algeria,Agricultural water withdrawal as % of total water withdrawal (%),1992,60.16505799
Algeria,Total population with access to safe drinking-water (JMP) (%),1992,91.7
Algeria,Urban population with access to safe drinking-water (JMP) (%),1992,97.4
Algeria,GDP per capita (current US$/inhab),1997,1608.348646
Algeria,"Agriculture, value added (% GDP) (%)",1997,8.839552
Algeria,Human Development Index (HDI) [highest = 1] (-),1997,0.619
Algeria,Agricultural water withdrawal as % of total water withdrawal (%),1997,60.5150825
Algeria,Total population with access to safe drinking-water (JMP) (%),1997,90.5
Algeria,Urban population with access to safe drinking-water (JMP) (%),1997,95
Algeria,GDP per capita (current US$/inhab),2002,1775.875268
Algeria,"Agriculture, value added (% GDP) (%)",2002,9.310262
Algeria,Human Development Index (HDI) [highest = 1] (-),2002,0.666
Algeria,Agricultural water withdrawal as % of total water withdrawal (%),2002,60.015
Algeria,Total population with access to safe drinking-water (JMP) (%),2002,88.8
Algeria,Urban population with access to safe drinking-water (JMP) (%),2002,92
Algeria,GDP per capita (current US$/inhab),2007,3935.183362
Algeria,"Agriculture, value added (% GDP) (%)",2007,7.570631
Algeria,Human Development Index (HDI) [highest = 1] (-),2007,0.708
Algeria,Agricultural water withdrawal as % of total water withdrawal (%),2007,59.55755452
Algeria,Total population with access to safe drinking-water (JMP) (%),2007,87
Algeria,Urban population with access to safe drinking-water (JMP) (%),2007,89.1
Algeria,GDP per capita (current US$/inhab),2012,5565.136948
Algeria,"Agriculture, value added (% GDP) (%)",2012,8.770688
Algeria,Human Development Index (HDI) [highest = 1] (-),2012,0.737
Algeria,Agricultural water withdrawal as % of total water withdrawal (%),2012,59.22848665
Algeria,Total population with access to safe drinking-water (JMP) (%),2012,84.9
Algeria,Urban population with access to safe drinking-water (JMP) (%),2012,86.1
Algeria,GDP per capita (current US$/inhab),2017,4051.244377
Algeria,"Agriculture, value added (% GDP) (%)",2017,11.946213
Algeria,Human Development Index (HDI) [highest = 1] (-),2017,0.758
Algeria,Agricultural water withdrawal as % of total water withdrawal (%),2017,63.76409864
Algeria,Total population with access to safe drinking-water (JMP) (%),2017,83.6
Algeria,Urban population with access to safe drinking-water (JMP) (%),2017,84.3
Algeria,"Agriculture, value added (% GDP) (%)",1967,10.33
Algeria,GDP per capita (current US$/inhab),1972,466.696038
Algeria,"Agriculture, value added (% GDP) (%)",1972,12.228819
Algeria,GDP per capita (current US$/inhab),1977,1186.586818
Algeria,"Agriculture, value added (% GDP) (%)",1977,8.552226
Algeria,GDP per capita (current US$/inhab),1982,2191.655233
Algeria,"Agriculture, value added (% GDP) (%)",1982,7.858088
Algeria,Agricultural water withdrawal as % of total water withdrawal (%),1982,74
Algeria,GDP per capita (current US$/inhab),1987,2689.767345
Algeria,"Agriculture, value added (% GDP) (%)",1987,10.293075
Algeria,Agricultural water withdrawal as % of total water withdrawal (%),1987,67.53846154
Andorra,GDP per capita (current US$/inhab),1992,25999.0836
Andorra,"Agriculture, value added (% GDP) (%)",1992,0.396444
Andorra,Total population with access to safe drinking-water (JMP) (%),1992,100
Andorra,Urban population with access to safe drinking-water (JMP) (%),1992,100
Andorra,GDP per capita (current US$/inhab),1997,23223.54668
Andorra,"Agriculture, value added (% GDP) (%)",1997,0.352469
Andorra,Total population with access to safe drinking-water (JMP) (%),1997,100
Andorra,Urban population with access to safe drinking-water (JMP) (%),1997,100
Andorra,GDP per capita (current US$/inhab),2002,24742.61901
Andorra,"Agriculture, value added (% GDP) (%)",2002,0.406166
Andorra,Human Development Index (HDI) [highest = 1] (-),2002,0.78
Andorra,Total population with access to safe drinking-water (JMP) (%),2002,100
Andorra,Urban population with access to safe drinking-water (JMP) (%),2002,100
Andorra,GDP per capita (current US$/inhab),2007,48580.37453
Andorra,"Agriculture, value added (% GDP) (%)",2007,0.399345
Andorra,Human Development Index (HDI) [highest = 1] (-),2007,0.829
Andorra,Total population with access to safe drinking-water (JMP) (%),2007,100
Andorra,Urban population with access to safe drinking-water (JMP) (%),2007,100
Andorra,GDP per capita (current US$/inhab),2012,38391.43234
Andorra,"Agriculture, value added (% GDP) (%)",2012,0.612256
Andorra,Human Development Index (HDI) [highest = 1] (-),2012,0.849
Andorra,Total population with access to safe drinking-water (JMP) (%),2012,100
Andorra,Urban population with access to safe drinking-water (JMP) (%),2012,100
Andorra,GDP per capita (current US$/inhab),2017,39249.68902
Andorra,"Agriculture, value added (% GDP) (%)",2017,0.483532
Andorra,Human Development Index (HDI) [highest = 1] (-),2017,0.852
Andorra,Total population with access to safe drinking-water (JMP) (%),2017,100
Andorra,Urban population with access to safe drinking-water (JMP) (%),2017,100
Andorra,GDP per capita (current US$/inhab),1972,5336.382732
Andorra,"Agriculture, value added (% GDP) (%)",1972,0.397362
Andorra,GDP per capita (current US$/inhab),1977,9807.150739
Andorra,"Agriculture, value added (% GDP) (%)",1977,0.397396
Andorra,GDP per capita (current US$/inhab),1982,12160.71913
Andorra,"Agriculture, value added (% GDP) (%)",1982,0.397593
Andorra,GDP per capita (current US$/inhab),1987,15963.13068
Andorra,"Agriculture, value added (% GDP) (%)",1987,0.398209
Angola,GDP per capita (current US$/inhab),1992,1433.185424
Angola,"Agriculture, value added (% GDP) (%)",1992,14.322324
Angola,Agricultural water withdrawal as % of total water withdrawal (%),1992,56.37202698
Angola,Total population with access to safe drinking-water (JMP) (%),1992,45.8
Angola,Urban population with access to safe drinking-water (JMP) (%),1992,52.1
Angola,GDP per capita (current US$/inhab),1997,677.765494
Angola,"Agriculture, value added (% GDP) (%)",1997,9.018265
Angola,Agricultural water withdrawal as % of total water withdrawal (%),1997,40.72657744
Angola,Total population with access to safe drinking-water (JMP) (%),1997,45.8
Angola,Urban population with access to safe drinking-water (JMP) (%),1997,56.8
Angola,GDP per capita (current US$/inhab),2002,869.851352
Angola,"Agriculture, value added (% GDP) (%)",2002,5.83955
Angola,Human Development Index (HDI) [highest = 1] (-),2002,0.419
Angola,Agricultural water withdrawal as % of total water withdrawal (%),2002,27.70393928
Angola,Total population with access to safe drinking-water (JMP) (%),2002,45.7
Angola,Urban population with access to safe drinking-water (JMP) (%),2002,62.6
Angola,GDP per capita (current US$/inhab),2007,3108.266911
Angola,"Agriculture, value added (% GDP) (%)",2007,5.242278
Angola,Human Development Index (HDI) [highest = 1] (-),2007,0.482
Angola,Agricultural water withdrawal as % of total water withdrawal (%),2007,20.78492491
Angola,Total population with access to safe drinking-water (JMP) (%),2007,46.4
Angola,Urban population with access to safe drinking-water (JMP) (%),2007,68.4
Angola,GDP per capita (current US$/inhab),2012,5102.492352
Angola,"Agriculture, value added (% GDP) (%)",2012,6.06963
Angola,Human Development Index (HDI) [highest = 1] (-),2012,0.537
Angola,Agricultural water withdrawal as % of total water withdrawal (%),2012,20.78492491
Angola,Total population with access to safe drinking-water (JMP) (%),2012,47.8
Angola,Urban population with access to safe drinking-water (JMP) (%),2012,74.2
Angola,GDP per capita (current US$/inhab),2017,4100.291004
Angola,"Agriculture, value added (% GDP) (%)",2017,10.016996
Angola,Human Development Index (HDI) [highest = 1] (-),2017,0.576
Angola,Agricultural water withdrawal as % of total water withdrawal (%),2017,20.78492491
Angola,Total population with access to safe drinking-water (JMP) (%),2017,49
Angola,Urban population with access to safe drinking-water (JMP) (%),2017,75.4
Angola,GDP per capita (current US$/inhab),1972,578.188935
Angola,"Agriculture, value added (% GDP) (%)",1972,14.200312
Angola,GDP per capita (current US$/inhab),1977,534.280069
Angola,"Agriculture, value added (% GDP) (%)",1977,14.164793
Angola,GDP per capita (current US$/inhab),1982,698.487595
Angola,"Agriculture, value added (% GDP) (%)",1982,13.950954
Angola,GDP per capita (current US$/inhab),1987,877.477552
Angola,"Agriculture, value added (% GDP) (%)",1987,12.795538
Angola,Agricultural water withdrawal as % of total water withdrawal (%),1987,76.04166667
Antigua and Barbuda,GDP per capita (current US$/inhab),1992,7296.556644
Antigua and Barbuda,"Agriculture, value added (% GDP) (%)",1992,1.802679
Antigua and Barbuda,Agricultural water withdrawal as % of total water withdrawal (%),1992,19.90918617
Antigua and Barbuda,Total population with access to safe drinking-water (JMP) (%),1992,97.5
Antigua and Barbuda,Urban population with access to safe drinking-water (JMP) (%),1992,97.5
Antigua and Barbuda,GDP per capita (current US$/inhab),1997,8755.174604
Antigua and Barbuda,"Agriculture, value added (% GDP) (%)",1997,1.718978
Antigua and Barbuda,Agricultural water withdrawal as % of total water withdrawal (%),1997,19.73684211
Antigua and Barbuda,Total population with access to safe drinking-water (JMP) (%),1997,97.6
Antigua and Barbuda,Urban population with access to safe drinking-water (JMP) (%),1997,97.6
Antigua and Barbuda,GDP per capita (current US$/inhab),2002,9440.352879
Antigua and Barbuda,"Agriculture, value added (% GDP) (%)",2002,1.730921
Antigua and Barbuda,Agricultural water withdrawal as % of total water withdrawal (%),2002,16.83937824
Antigua and Barbuda,Total population with access to safe drinking-water (JMP) (%),2002,97.7
Antigua and Barbuda,Urban population with access to safe drinking-water (JMP) (%),2002,97.7
Antigua and Barbuda,GDP per capita (current US$/inhab),2007,14365.77909
Antigua and Barbuda,"Agriculture, value added (% GDP) (%)",2007,1.605891
Antigua and Barbuda,Human Development Index (HDI) [highest = 1] (-),2007,0.784
Antigua and Barbuda,Agricultural water withdrawal as % of total water withdrawal (%),2007,15.53846154
Antigua and Barbuda,Total population with access to safe drinking-water (JMP) (%),2007,97.9
Antigua and Barbuda,Urban population with access to safe drinking-water (JMP) (%),2007,97.9
Antigua and Barbuda,GDP per capita (current US$/inhab),2012,12399.10462
Antigua and Barbuda,"Agriculture, value added (% GDP) (%)",2012,1.898847
Antigua and Barbuda,Human Development Index (HDI) [highest = 1] (-),2012,0.767
Antigua and Barbuda,Agricultural water withdrawal as % of total water withdrawal (%),2012,15.65217391
Antigua and Barbuda,Total population with access to safe drinking-water (JMP) (%),2012,97.9
Antigua and Barbuda,Urban population with access to safe drinking-water (JMP) (%),2012,97.9
Antigua and Barbuda,GDP per capita (current US$/inhab),2017,14390.24603
Antigua and Barbuda,"Agriculture, value added (% GDP) (%)",2017,1.793599
Antigua and Barbuda,Human Development Index (HDI) [highest = 1] (-),2017,0.774
Antigua and Barbuda,Agricultural water withdrawal as % of total water withdrawal (%),2017,15.65217391
Antigua and Barbuda,Total population with access to safe drinking-water (JMP) (%),2017,97.9
Antigua and Barbuda,Urban population with access to safe drinking-water (JMP) (%),2017,97.9
Antigua and Barbuda,GDP per capita (current US$/inhab),1972,815.391021
Antigua and Barbuda,"Agriculture, value added (% GDP) (%)",1972,4.176297
Antigua and Barbuda,GDP per capita (current US$/inhab),1977,1109.072181
Antigua and Barbuda,"Agriculture, value added (% GDP) (%)",1977,4.726079
Antigua and Barbuda,GDP per capita (current US$/inhab),1982,2326.163286
Antigua and Barbuda,"Agriculture, value added (% GDP) (%)",1982,2.566195
Antigua and Barbuda,GDP per capita (current US$/inhab),1987,4969.770419
Antigua and Barbuda,"Agriculture, value added (% GDP) (%)",1987,1.907671
Argentina,GDP per capita (current US$/inhab),1992,7366.759988
Argentina,"Agriculture, value added (% GDP) (%)",1992,5.193747
Argentina,Human Development Index (HDI) [highest = 1] (-),1992,0.719
Argentina,Total population with access to safe drinking-water (JMP) (%),1992,94.3
Argentina,Urban population with access to safe drinking-water (JMP) (%),1992,97.6
Argentina,GDP per capita (current US$/inhab),1997,8861.217104
Argentina,"Agriculture, value added (% GDP) (%)",1997,4.527197
Argentina,Human Development Index (HDI) [highest = 1] (-),1997,0.746
Argentina,Agricultural water withdrawal as % of total water withdrawal (%),1997,73.36884722
Argentina,Total population with access to safe drinking-water (JMP) (%),1997,95.6
Argentina,Urban population with access to safe drinking-water (JMP) (%),1997,97.9
Argentina,GDP per capita (current US$/inhab),2002,2918.591423
Argentina,"Agriculture, value added (% GDP) (%)",2002,8.84866
Argentina,Human Development Index (HDI) [highest = 1] (-),2002,0.77
Argentina,Agricultural water withdrawal as % of total water withdrawal (%),2002,71.36175073
Argentina,Total population with access to safe drinking-water (JMP) (%),2002,96.7
Argentina,Urban population with access to safe drinking-water (JMP) (%),2002,98.2
Argentina,GDP per capita (current US$/inhab),2007,7249.274928
Argentina,"Agriculture, value added (% GDP) (%)",2007,7.452354
Argentina,Human Development Index (HDI) [highest = 1] (-),2007,0.806
Argentina,Agricultural water withdrawal as % of total water withdrawal (%),2007,72.895539
Argentina,Total population with access to safe drinking-water (JMP) (%),2007,97.7
Argentina,Urban population with access to safe drinking-water (JMP) (%),2007,98.5
Argentina,GDP per capita (current US$/inhab),2012,13811.78016
Argentina,"Agriculture, value added (% GDP) (%)",2012,5.781744
Argentina,Human Development Index (HDI) [highest = 1] (-),2012,0.823
Argentina,Agricultural water withdrawal as % of total water withdrawal (%),2012,73.92800424
Argentina,Total population with access to safe drinking-water (JMP) (%),2012,98.6
Argentina,Urban population with access to safe drinking-water (JMP) (%),2012,98.8
Argentina,GDP per capita (current US$/inhab),2017,14517.29125
Argentina,"Agriculture, value added (% GDP) (%)",2017,5.478382
Argentina,Human Development Index (HDI) [highest = 1] (-),2017,0.832
Argentina,Agricultural water withdrawal as % of total water withdrawal (%),2017,73.92800424
Argentina,Total population with access to safe drinking-water (JMP) (%),2017,99.1
Argentina,Urban population with access to safe drinking-water (JMP) (%),2017,99
Argentina,"Agriculture, value added (% GDP) (%)",1967,9.98
Argentina,GDP per capita (current US$/inhab),1972,1545.839979
Argentina,"Agriculture, value added (% GDP) (%)",1972,9.509485
Argentina,GDP per capita (current US$/inhab),1977,2293.834201
Argentina,"Agriculture, value added (% GDP) (%)",1977,7.019216
Argentina,GDP per capita (current US$/inhab),1982,3002.052353
Argentina,"Agriculture, value added (% GDP) (%)",1982,8.318905
Argentina,GDP per capita (current US$/inhab),1987,3764.20729
Argentina,"Agriculture, value added (% GDP) (%)",1987,7.017414
Armenia,GDP per capita (current US$/inhab),1992,363.653731
Armenia,"Agriculture, value added (% GDP) (%)",1992,28.303063
Armenia,Human Development Index (HDI) [highest = 1] (-),1992,0.585
Armenia,Total population with access to safe drinking-water (JMP) (%),1992,90.7
Armenia,Urban population with access to safe drinking-water (JMP) (%),1992,98.1
Armenia,GDP per capita (current US$/inhab),1997,557.761578
Armenia,"Agriculture, value added (% GDP) (%)",1997,27.567149
Armenia,Human Development Index (HDI) [highest = 1] (-),1997,0.625
Armenia,Agricultural water withdrawal as % of total water withdrawal (%),1997,66.21993872
Armenia,Total population with access to safe drinking-water (JMP) (%),1997,91
Armenia,Urban population with access to safe drinking-water (JMP) (%),1997,98.2
Armenia,GDP per capita (current US$/inhab),2002,835.283238
Armenia,"Agriculture, value added (% GDP) (%)",2002,21.997248
Armenia,Human Development Index (HDI) [highest = 1] (-),2002,0.663
Armenia,Agricultural water withdrawal as % of total water withdrawal (%),2002,65.76670128
Armenia,Total population with access to safe drinking-water (JMP) (%),2002,93.7
Armenia,Urban population with access to safe drinking-water (JMP) (%),2002,98.7
Armenia,GDP per capita (current US$/inhab),2007,3347.296067
Armenia,"Agriculture, value added (% GDP) (%)",2007,17.094531
Armenia,Human Development Index (HDI) [highest = 1] (-),2007,0.724
Armenia,Agricultural water withdrawal as % of total water withdrawal (%),2007,66.95005314
Armenia,Total population with access to safe drinking-water (JMP) (%),2007,96.7
Armenia,Urban population with access to safe drinking-water (JMP) (%),2007,99.3
Armenia,GDP per capita (current US$/inhab),2012,3684.805034
Armenia,"Agriculture, value added (% GDP) (%)",2012,17.912682
Armenia,Human Development Index (HDI) [highest = 1] (-),2012,0.737
Armenia,Agricultural water withdrawal as % of total water withdrawal (%),2012,71.67630058
Armenia,Total population with access to safe drinking-water (JMP) (%),2012,99.7
Armenia,Urban population with access to safe drinking-water (JMP) (%),2012,99.8
Armenia,GDP per capita (current US$/inhab),2017,3933.682101
Armenia,"Agriculture, value added (% GDP) (%)",2017,14.99426
Armenia,Human Development Index (HDI) [highest = 1] (-),2017,0.758
Armenia,Agricultural water withdrawal as % of total water withdrawal (%),2017,74.22011306
Armenia,Total population with access to safe drinking-water (JMP) (%),2017,100
Armenia,Urban population with access to safe drinking-water (JMP) (%),2017,100
Australia,GDP per capita (current US$/inhab),1992,18647.39065
Australia,"Agriculture, value added (% GDP) (%)",1992,3.259315
Australia,Human Development Index (HDI) [highest = 1] (-),1992,0.868
Australia,Total population with access to safe drinking-water (JMP) (%),1992,100
Australia,Urban population with access to safe drinking-water (JMP) (%),1992,100
Australia,GDP per capita (current US$/inhab),1997,23634.6236
Australia,"Agriculture, value added (% GDP) (%)",1997,3.038954
Australia,Human Development Index (HDI) [highest = 1] (-),1997,0.889
Australia,Agricultural water withdrawal as % of total water withdrawal (%),1997,69.73565091
Australia,Total population with access to safe drinking-water (JMP) (%),1997,100
Australia,Urban population with access to safe drinking-water (JMP) (%),1997,100
Australia,GDP per capita (current US$/inhab),2002,22344.90605
Australia,"Agriculture, value added (% GDP) (%)",2002,2.888534
Australia,Human Development Index (HDI) [highest = 1] (-),2002,0.903
Australia,Agricultural water withdrawal as % of total water withdrawal (%),2002,68.36149434
Australia,Total population with access to safe drinking-water (JMP) (%),2002,100
Australia,Urban population with access to safe drinking-water (JMP) (%),2002,100
Australia,GDP per capita (current US$/inhab),2007,47030.84918
Australia,"Agriculture, value added (% GDP) (%)",2007,2.33863
Australia,Human Development Index (HDI) [highest = 1] (-),2007,0.908
Australia,Agricultural water withdrawal as % of total water withdrawal (%),2007,59.57407915
Australia,Total population with access to safe drinking-water (JMP) (%),2007,100
Australia,Urban population with access to safe drinking-water (JMP) (%),2007,100
Australia,GDP per capita (current US$/inhab),2012,69701.08158
Australia,"Agriculture, value added (% GDP) (%)",2012,2.278906
Australia,Human Development Index (HDI) [highest = 1] (-),2012,0.932
Australia,Agricultural water withdrawal as % of total water withdrawal (%),2012,59.84768088
Australia,Total population with access to safe drinking-water (JMP) (%),2012,100
Australia,Urban population with access to safe drinking-water (JMP) (%),2012,100
Australia,GDP per capita (current US$/inhab),2017,57917.09369
Australia,"Agriculture, value added (% GDP) (%)",2017,2.597156
Australia,Human Development Index (HDI) [highest = 1] (-),2017,0.937
Australia,Agricultural water withdrawal as % of total water withdrawal (%),2017,63.42877854
Australia,Total population with access to safe drinking-water (JMP) (%),2017,100
Australia,Urban population with access to safe drinking-water (JMP) (%),2017,100
Australia,GDP per capita (current US$/inhab),1972,4466.44043
Australia,"Agriculture, value added (% GDP) (%)",1972,7.218258
Australia,GDP per capita (current US$/inhab),1977,8229.067139
Australia,"Agriculture, value added (% GDP) (%)",1977,4.575774
Australia,GDP per capita (current US$/inhab),1982,12772.62927
Australia,"Agriculture, value added (% GDP) (%)",1982,3.723593
Australia,GDP per capita (current US$/inhab),1987,14026.68007
Australia,"Agriculture, value added (% GDP) (%)",1987,4.357207
Austria,GDP per capita (current US$/inhab),1992,24910.41306
Austria,"Agriculture, value added (% GDP) (%)",1992,2.453335
Austria,Human Development Index (HDI) [highest = 1] (-),1992,0.805
Austria,Agricultural water withdrawal as % of total water withdrawal (%),1992,2.729332132
Austria,Total population with access to safe drinking-water (JMP) (%),1992,100
Austria,Urban population with access to safe drinking-water (JMP) (%),1992,100
Austria,GDP per capita (current US$/inhab),1997,26489.42505
Austria,"Agriculture, value added (% GDP) (%)",1997,1.905483
Austria,Human Development Index (HDI) [highest = 1] (-),1997,0.824
Austria,Agricultural water withdrawal as % of total water withdrawal (%),1997,2.744161796
Austria,Total population with access to safe drinking-water (JMP) (%),1997,100
Austria,Urban population with access to safe drinking-water (JMP) (%),1997,100
Austria,GDP per capita (current US$/inhab),2002,26232.68623
Austria,"Agriculture, value added (% GDP) (%)",2002,1.562774
Austria,Human Development Index (HDI) [highest = 1] (-),2002,0.838
Austria,Agricultural water withdrawal as % of total water withdrawal (%),2002,2.793738301
Austria,Total population with access to safe drinking-water (JMP) (%),2002,100
Austria,Urban population with access to safe drinking-water (JMP) (%),2002,100
Austria,GDP per capita (current US$/inhab),2007,46761.50662
Austria,"Agriculture, value added (% GDP) (%)",2007,1.416392
Austria,Human Development Index (HDI) [highest = 1] (-),2007,0.881
Austria,Agricultural water withdrawal as % of total water withdrawal (%),2007,2.506941377
Austria,Total population with access to safe drinking-water (JMP) (%),2007,100
Austria,Urban population with access to safe drinking-water (JMP) (%),2007,100
Austria,GDP per capita (current US$/inhab),2012,48068.43873
Austria,"Agriculture, value added (% GDP) (%)",2012,1.348551
Austria,Human Development Index (HDI) [highest = 1] (-),2012,0.899
Austria,Agricultural water withdrawal as % of total water withdrawal (%),2012,2.207840554
Austria,Total population with access to safe drinking-water (JMP) (%),2012,100
Austria,Urban population with access to safe drinking-water (JMP) (%),2012,100
Austria,GDP per capita (current US$/inhab),2017,47887.17438
Austria,"Agriculture, value added (% GDP) (%)",2017,1.203252
Austria,Human Development Index (HDI) [highest = 1] (-),2017,0.912
Austria,Agricultural water withdrawal as % of total water withdrawal (%),2017,2.207840554
Austria,Total population with access to safe drinking-water (JMP) (%),2017,100
Austria,Urban population with access to safe drinking-water (JMP) (%),2017,100
Austria,GDP per capita (current US$/inhab),1972,2909.885164
Austria,"Agriculture, value added (% GDP) (%)",1972,5.977634
Austria,GDP per capita (current US$/inhab),1977,6750.088928
Austria,"Agriculture, value added (% GDP) (%)",1977,4.410136
Austria,GDP per capita (current US$/inhab),1982,9375.303621
Austria,"Agriculture, value added (% GDP) (%)",1982,3.646039
Austria,Agricultural water withdrawal as % of total water withdrawal (%),1982,3.898476685
Austria,GDP per capita (current US$/inhab),1987,16254.38865
Austria,"Agriculture, value added (% GDP) (%)",1987,3.197493
Austria,Agricultural water withdrawal as % of total water withdrawal (%),1987,4.358817889
Azerbaijan,GDP per capita (current US$/inhab),1992,708.934654
Azerbaijan,"Agriculture, value added (% GDP) (%)",1992,26.411581
Azerbaijan,Agricultural water withdrawal as % of total water withdrawal (%),1992,67.46080731
