country,water security index,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Urban population with access to safe drinking-water (JMP) (%),Total renewable water resources per capita (m3/inhab/yr),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Total water withdrawal (10^9 m3/yr),SDG 6.4.2. Water Stress (%),Agricultural water withdrawal as % of total water withdrawal (%),Agricultural water withdrawal (10^9 m3/year),Human Development Index (HDI) [highest = 1] (-),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Water Use Efficiency (US$/m3),Dam capacity per capita (m3/inhab),Resilience and securityStorage drought duration index(Total dam capacity_km3),nutrient security,National Rainfall Index (NRI) (mm/yr),"Mortality rate, infant (per 1,000 live births)",longitude,latitude,population ages0-14,Population ages 65 and above (_ of total population),Net official development assistance and official aid received (current US$),% of total cultivated area drained (%),Total exploitable water resources (10^9 m3/yr)
Myanmar,2,0.039558451,0.041820542,0.01917004,0.009689454,0.010411697,0.282138417,0.851926978,0.043030623,0.715959004,0.719298246,0.127326743,0.043870905,0.001499571,0.890145739,0.042979651,0.351724138,0.041832077,0.002376729,0.001026957,0.002965471,0.001289681,0.008298412,0.018455015,0.414225941,0.651185123,0.430730479,0.502786364,0.573538049,0.362107623,0.180855457,0.249075352,0.01445127,0.044436214
Nepal,2,0.008592823,0.026583586,0.006699172,0.023404284,0.007020635,0.327520249,0.815415822,0.014962975,0.877013177,0.910087719,0.069179682,0.012472107,0.002151525,0.986436929,0.013546512,0.346551724,0.001838828,0.000140677,0.001964141,0.010638276,0.001580184,8.81E-05,0.000101366,0.058577406,0.487934112,0.302267003,0.728918209,0.654572814,0.459572551,0.172320061,0.182971874,0.292487873,0.019506173
New Zealand,4,0.01564219,0.000716242,0.004804819,0.001962127,0.396262398,0.070083801,1,0.136795006,1,1,0.22648821,0.006826728,0.002083027,0.619807072,0.004661337,0.943103448,0.010181565,0.005646161,0.000571392,0.050489848,0.027116167,0.102448911,0.020068432,0.259414226,0.319316718,0.028967254,0.987117624,0,0.192881164,0.552696236,0.066222053,0.054238023,0.030930041
Pakistan,2,0.046545822,0.140820847,0.085116637,0.032653316,0.013073956,0.276645087,0.876267748,0.002334995,0.874084919,0.889254386,0.180323122,0.241058505,0.031856976,0.944634856,0.250581395,0.318965517,0.121518822,0.006676204,0.000696934,0.005270708,0.001013685,0.003815298,0.033045799,0.138075314,0.093815668,0.681360202,0.686875247,0.673279887,0.605771029,0.117928825,0.257422049,0.444401265,0.061366255
Papua New Guinea,2,0.027054642,0.008063358,0.001261782,0.002046176,0.023343016,0.222718763,0.756592292,0.18672368,0.121522694,0.263157895,0.007854839,0.000507494,2.72E-05,0.002563584,1.45E-06,0.293103448,0.002794767,0.000799237,0.000789964,0.012709914,0.024705791,0,0,0.179079498,0.911313465,0.431989924,0.899126932,0.326699331,0.617276756,0.087645079,0.119239766,0,0.033399177
Philippines,3,0.017530716,0.062909073,0.058059277,0.043919788,0.026274593,0.116666678,0.872210953,0.008958593,0.879941435,0.893640351,0.180220458,0.121870984,0.007356966,0.736635178,0.098793605,0.579310345,0.112438034,0.075584168,7.73E-05,0.002976205,0.002602822,0.001927005,0.008443199,0.09623431,0.739024335,0.251889169,0.836024795,0.508014551,0.483712497,0.154902937,0.14111801,0.126309336,0.060082305
Samoa,3,0.000150895,0.000180152,2.28E-05,0.008415805,0.037267973,0.124096945,0.949290061,0,0.985358712,0.992324561,0.0249382,0.00035183,0.004042348,0.31687763,7.95E-05,0.574137931,0.000965763,0.000670674,0.200534591,0.032171441,0.032701097,0.001460174,1.19E-05,0.217573222,0.225399372,0.14231738,0,0.256382499,0.680675577,0.140677379,0.069272672,0.262010664,0.00370823
Singapore,4,2.68E-05,0,0.00674947,1,0.535691562,0,1,0.000206763,1,1,0.022102303,0.000858745,0.021293288,0.040207254,3.83E-05,0.967241379,0.003717077,0.001603691,0.004603737,0.22608142,0.13273817,0.000374298,8.90E-05,0.124686192,0.209113813,0.006297229,0.784948751,0.39912359,0,0.418564754,0.097366123,0.292017258,0.008192263
Sri Lanka,2,0.003822087,0.019161638,0.004531065,0.040322419,0.037438569,0.093893984,0.969574037,0.004915675,0.935578331,0.945175439,0.124691672,0.017004205,0.023570605,0.878155495,0.016438953,0.694827586,0.010118592,0.003962804,0.000550546,0.004640447,0.004600407,0.00802225,0.007061152,0.0041841,0.461102199,0.056675063,0.719381883,0.460721664,0.309910757,0.360665898,0.076040285,0.094306023,0.013787243
Tajikistan,2,0.008253602,0.007325776,0.002834241,0.007663044,0.006376273,0.256519959,0.860040568,0.004853159,0.616398243,0.634868421,0.265340129,0.015097226,0.017845553,0.912942658,0.015174419,0.479310345,0.008128627,0.001944683,8.15E-05,0.002898587,0.000399312,0.094774642,0.035062151,0.138075314,0.089014167,0.352644836,0.692368549,0.75343673,0.659534449,0.071870957,0.091593017,0.373715656,0.013787243
Thailand,2,0.029995339,0.039440392,0.040257934,0.016743325,0.059080484,0.100449555,0.951318458,0.012465771,0.967789165,0.978070175,0.169106191,0.075296379,0.005969784,0.908427424,0.075276163,0.670689655,0.034476765,0.013242728,0.001037589,0.006448445,0.005763399,0.032654989,0.094153729,0.050209205,0.4803082,0.076826196,0.776905658,0.536261249,0.119753487,0.419053508,0.02681585,0.399378541,0.051843621
Timor-Leste,2,0.000854486,0.001017377,0.000444222,0.010283362,0.016534465,0.125996517,0.902636917,0.012997342,0.588579795,0.566885965,0.192767778,0.001532338,0.007334363,0.918557357,0.001556686,0.432758621,0.001226725,9.54E-06,0.01398028,0.001140464,0.001664168,0.00690338,0.001817818,0.142259414,0.225399372,0.459697733,0.847271698,0.30252485,0.665426176,0.116592564,0.079586318,0.22928995,0.000109465
Turkmenistan,3,0.028532009,0.003163041,0.003472575,0.001235414,0.058990297,0.105753439,0.778904665,0.008460578,0.420204978,0.282894737,1,0.036725778,0.037276613,0.947863644,0.038313953,0.577586207,0.009488856,0.004000954,0.000547261,0.002378134,0.001014685,0.027716433,0.006648202,0.079497908,0.013540231,0.437027708,0.659028104,0.754463522,0.491241275,0.127987033,0.060232031,0.475324959,0.018436214
Uzbekistan,3,0.026151612,0.017745599,0.019108228,0.008749509,0.015944815,0.363703881,0.969574037,0.003007785,0.814055637,0.790570175,0.378514335,0.077391007,0.043861022,0.927702174,0.079011628,0.575862069,0.030333105,0.010157368,0.000164564,0.007941129,0.000933567,0.019646097,0.026157755,0.041841004,0.046704476,0.176322418,0.673334585,0.777207863,0.438976748,0.128090976,0.164194801,0.636811969,0.019860082
Afghanistan,1,0.038168229,0.026960392,0.010039183,0.006125357,0.00541498,0.454548611,0.401408451,0.004016066,0.29136164,0.382675439,0.121565861,0.026763677,0.017692174,0.986782782,0.029069767,0.233443709,0.002768236,0.000727718,0.003618774,0.001659427,0.001736647,0.001744726,0.002387387,0.616033755,0.0456312,0.570771001,0.68222372,0.706943929,0.84458604,0.059868865,0.501574619,0.373599988,0.019860082
Armenia,3,0.001724179,0.001226854,0.002450362,0.01269439,0.03353131,0.320471371,0.995305164,0.005159878,0.995607613,0.993421053,0.190647218,0.003856929,0.019170537,0.720476804,0.003063953,0.660596026,0.008215544,0.000996909,0.001373507,0.00585547,0.007229197,0.013013128,0.001648129,0.033755274,0.092827123,0.120828539,0.617727065,0.764848574,0.210493084,0.390228473,0.115348181,0.058433898,0.003665021
Australia,4,0.452740936,0.003858236,0.026419307,0.000153754,0.654329116,0.040254076,1,0.041149028,1,1,0.130177493,0.021042344,0.001995277,0.601577725,0.013934593,0.983443709,0.051337204,0.011540443,0.015975495,0.006193946,0.193146492,0.091908709,0.092437045,0.012658228,0.19591816,0.01726122,0.870165482,0.147606781,0.175954498,0.552791416,0.11662295,0.01425771,0.0781893
Azerbaijan,2,0.005049716,0.004948019,0.006750574,0.0140283,0.069604218,0.091531744,0.845070423,0.007169524,0.773060029,0.714912281,0.242061665,0.015721672,0.017078723,0.746286268,0.012917151,0.658940397,0.006683274,0.013347931,0.00121798,0.003446008,0.010407629,0.062925547,0.025599827,1,0.123217796,0.231300345,0.624949149,0.765547586,0.286470421,0.189360086,0.08986109,0.245264548,0.013787243
Bangladesh,1,0.008667685,0.122645212,0.067568038,0.135424718,0.006664171,0.289371556,0.669014085,0.01556565,0.777452416,0.828947368,0.042978036,0.047127961,0.001841285,0.882721283,0.045784884,0.379139073,0.049361852,0.003305856,0.008269042,0.010733724,0.011558749,0.001160765,0.007696918,0.063291139,0.645536299,0.317606444,0.746647834,0.610082587,0.434767471,0.162025036,0.343018091,0.150932849,0.061884774
Bhutan,2,0.002230087,0.000554829,0.000349378,0.002196632,0.02165631,0.285560015,0.992957746,0.21297156,0.970717423,0.968201754,0.089088666,0.000436403,0.000448163,0.945703161,0.000462209,0.418874172,0.000211253,1.29E-05,0.028992658,0.005885668,0.01256025,0,0,0.255696203,0.730268658,0.284234753,0.746867737,0.646253626,0.381676706,0.189637013,0.086989406,0.279021533,0.013975309
Brunei Darussalam,4,0.00032226,0.000112695,0.000388136,0.008982098,0.446977784,0.011150259,0.984037559,0.040809646,0.99033675,0.992763158,0.041664386,0.000113141,0.001111716,0.057907186,7.70E-06,0.836092715,0.002056287,0.014123562,0.152151046,0.045438947,0.331452623,0.003053099,5.35E-05,0.164556962,1,0.084004603,0.525759461,0.826308357,0.306175128,0.129414224,0.085230487,0.295615719,0.011596708
Cambodia,2,0.010573173,0.013512497,0.004195189,0.010648402,0.007824456,0.600205834,0.809859155,0.061704272,0.543191801,0.593201754,0.026027849,0.002862177,0.000326207,0.944888876,0.002984012,0.347682119,0.001322388,0.00014168,0.016614314,0.005784683,0.012388782,1.83E-06,1.19E-06,0.109704641,0.656551506,0.278481013,0.788280577,0.505048473,0.504384148,0.127735919,0.156831264,0.282432909,0.016938272
Fiji,3,0.00105334,0.000473507,0.000608296,0.006074484,0.041636843,0.172836521,0.988262911,0.06322083,0.935578331,0.903508772,0.016659483,0.000103812,8.73E-05,0.591979592,7.27E-05,0.602649007,0.00032511,4.12E-05,0.010299649,0.003574218,0.103894922,0.004161811,0.000158093,0.084388186,0.664459859,0.220943613,1,0.22975203,0.460967792,0.162109911,0.093781149,0.282432909,0.013787243
Georgia,3,0.004061296,0.002078651,0.003115474,0.007536232,0.036627998,0.145943628,1,0.029850341,0.97510981,0.960526316,0.082818973,0.002387798,0.001910713,0.584923509,0.001541888,0.680463576,0.004916084,0.0017268,0.000656173,0.006373592,0.017553948,0.022732629,0.004056895,0.080168776,0.315362542,0.085155351,0.612944108,0.786067368,0.183830161,0.527678278,0.129413548,0.284980637,0.013787243
India,1,0.192244819,1,0.542032078,0.051117348,0.012734979,0.301341078,0.915492958,0.002891908,0.88579795,0.893640351,0.11163931,1,0.021485716,0.908757907,1,0.433774834,0.768170495,0.072986433,0.004430793,0.004987824,0.005364313,0.005087617,0.282781988,0.067510549,0.417606254,0.361334868,0.71423593,0.580881832,0.413096695,0.187711274,0.358106034,0.029334589,0.448024691
Indonesia,2,0.111748223,0.140432503,0.173111114,0.017100479,0.033560922,0.239119866,0.849765258,0.015564479,0.790629575,0.75,0.154978663,0.27122146,0.008412056,0.834685762,0.249119601,0.569536424,0.277524984,0.063441603,0.003309968,0.003778836,0.00891819,0.002507501,0.027356601,0.092827004,0.820649841,0.239355581,0.813685462,0.378895693,0.394618106,0.177206657,0.070491931,0.063060929,1
Japan,4,0.022090316,0.013164834,0.158785532,0.045078576,0.453095607,0.019872699,1,0.006413994,1,1,0.11787337,0.1070233,0.01206297,0.671725239,0.079113372,0.92218543,0.211368151,0.04984544,0.014999359,0.010768746,0.150199158,0.006628164,0.037378083,0.164556962,0.439071785,0.003452244,0.882903911,0.728345977,0.016507664,1,0.245354846,0.167517774,0.031053498
Kazakhstan,3,0.159354404,0.008431469,0.013056649,0.000579081,0.11447277,0.07627067,0.981220657,0.012397092,0.89897511,0.846491228,0.239255233,0.028105474,0.009581482,0.586833459,0.01815407,0.735099338,0.034094027,0.027550232,0.001204576,0.000611978,0.01933917,0.129154987,0.095004585,0.033755274,0.070909687,0.093210587,0.679986857,0.83994986,0.396593928,0.231653091,0.088143032,0.009972241,0.016625514
Malaysia,3,0.019332097,0.009365724,0.028580208,0.011479413,0.100247794,0.174948953,1,0.038222127,0.969253294,0.916666667,0.03377526,0.007203867,0.001003834,0.458815465,0.003640988,0.735099338,0.018387235,0.007045337,0.009710776,0.015815894,0.123864463,0.020900941,0.026678588,0.240506329,0.895496758,0.060989643,0.779702946,0.426124347,0.328166218,0.203716024,0.076317847,0.106787085,0.018436214
Maldives,3,2.34E-06,0.000280571,0.000173095,0.176368664,0.069156068,0.092442902,0.988262911,0.000144669,0.979502196,0.976973684,0.00093425,0,0.005055618,0,0,0.579470199,5.49E-05,1.29E-06,0.158234444,0.027501218,0.091690744,0,0,0.122362869,0.225399372,0.073647871,0.69790054,0.416605503,0.223317328,0.11215844,0.084008345,0,0.001322634
Mongolia,2,0.091464552,0.001041922,0.002575168,0,0.039956601,0.201194975,0.248826291,0.023600003,0.46852123,0.493421053,0.030901445,0.000636536,0.001154835,0.519401783,0.000368241,0.630794702,0.000978759,0.000704104,0.002557357,0.007191162,0.044243539,0.002395145,0.000297087,0.320675105,0.043512891,0.16570771,0.785025276,0.829019768,0.452732699,0.114581708,0.115269761,0.270575506,0.016378601
Myanmar,2,0.039556112,0.041765177,0.020221447,0.009894484,0.010133561,0.547701172,0.828638498,0.043510533,0.711566618,0.719298246,0.120749872,0.043870905,0.001866552,0.890145739,0.042979651,0.336092715,0.045562043,0.00213979,0.004999926,0.002594911,0.002946023,0.008174411,0.018455015,0.371308017,0.651185123,0.433831991,0.557696511,0.727733113,0.397183538,0.170514462,0.240227715,0.013531036,0.044436214
Nepal,2,0.008592823,0.026430271,0.006526445,0.024217431,0.004977508,0.593548346,0.802816901,0.014919289,0.837481698,0.871710526,0.064566524,0.012472107,0.002678055,0.986436929,0.013546512,0.347682119,0.002002787,0.000126653,0.0132829,0.009763406,0.00463444,8.55E-05,0.000101366,0.004219409,0.487934112,0.30840046,0.728918209,0.654572814,0.529031252,0.180177437,0.191507122,0.282432909,0.01726749
New Zealand,4,0.01564219,0.000716035,0.005200191,0.001985402,0.369731377,0.098293728,1,0.140182886,1,1,0.21788274,0.006826728,0.001977089,0.619807072,0.004661337,0.938741722,0.011089407,0.00508329,0.003782938,0.040900087,0.081753354,0.102276728,0.020068432,0.164556962,0.319316718,0.031070196,0.987117624,0,0.198600323,0.547274351,0.08721848,0.051344106,0.040065844
Pakistan,1,0.046545822,0.133081124,0.085439143,0.03113601,0.010225597,0.424386033,0.863849765,0.002524401,0.866764275,0.878289474,0.183070091,0.241058505,0.037249634,0.944634856,0.250581395,0.322847682,0.132354071,0.006010647,0.005104357,0.004073837,0.002895138,0.004018329,0.033045799,0.11814346,0.093815668,0.676639816,0.686875247,0.673279887,0.618171642,0.129995217,0.387211888,0.417454772,0.055053498
Papua New Guinea,2,0.027054642,0.007488171,0.0012866,0.001958184,0.025829689,0.344860949,0.718309859,0.201073961,0.120058565,0.263157895,0.007831145,0.000507494,3.39E-05,0.002563584,1.45E-06,0.281456954,0.003043963,0.00071956,0.004653883,0.010909908,0.101947634,0,0,0.166244726,0.911313465,0.426927503,0.899126932,0.326699331,0.638383989,0.090860332,0.136516916,0,0.033399177
Philippines,2,0.017530716,0.060898299,0.060050659,0.042979371,0.02315915,0.21151278,0.845070423,0.009438818,0.865300146,0.876096491,0.161752084,0.11070007,0.008317162,0.810249089,0.098706395,0.572847682,0.100131141,0.038798729,0.000970397,0.002318916,0.007264093,0.001977904,0.008443199,0.101265823,0.739024335,0.246260069,0.836024795,0.508014551,0.518441349,0.147470923,0.110933858,0.115270841,0.060082305
Samoa,2,0.000150895,0.000176103,2.82E-05,0.00863955,0.036427457,0.163651916,0.938967136,0,0.978038067,0.986842105,0.026332252,0.000336533,0.005966547,0.284681012,6.82E-05,0.592715232,0.001037883,0.000642112,0.006284105,0.026211791,0.059596506,0.001431191,1.19E-05,0.151898734,0.225399372,0.14269275,0,0.256382499,0.696218395,0.140793188,0.090811438,0.254650469,0.003665021
Singapore,4,2.67E-05,0,0.007128703,1,0.519129696,0,1,0.000214054,1,0.997807018,0.038967173,0.001518409,0.051724383,0.021772717,3.66E-05,0.963576159,0.007285722,0.002591132,0.017418614,0.231776252,0.402552617,0.000377497,8.90E-05,0.087763713,0.210884719,0.00575374,0.784948751,0.39912359,0,0.342962892,0.106111535,0.095615719,0.011596708
Sri Lanka,2,0.003822087,0.019349051,0.00501969,0.041499817,0.030388505,0.132927927,0.953051643,0.004926004,0.901903367,0.915570175,0.117171061,0.017004205,0.029338905,0.878155495,0.016438953,0.701986755,0.011020818,0.003567749,0.003891119,0.003399422,0.013724384,0.007831638,0.007061152,0.158649789,0.461102199,0.060989643,0.719381883,0.460721664,0.324957452,0.342961739,0.120203113,0.282432909,0.013787243
Tajikistan,2,0.008322031,0.006801058,0.002857006,0.007127303,0.007858376,0.417513459,0.835680751,0.005329737,0.585651537,0.605263158,0.273720955,0.015097226,0.022763725,0.912942658,0.015174419,0.498344371,0.008853418,0.001750816,0.000301208,0.002099923,0.000922039,0.101395354,0.035062151,0.097046414,0.089014167,0.349827388,0.692368549,0.75343673,0.629556169,0.077021016,0.118784297,0.338287777,0.013787243
Thailand,2,0.029995339,0.042862295,0.04180593,0.01739215,0.053985194,0.205605082,0.941314554,0.01238578,0.957540264,0.964912281,0.157624305,0.075296379,0.007430735,0.908427424,0.075276163,0.65397351,0.037550893,0.011922549,0.007640686,0.007268987,0.017606427,0.031608108,0.094153729,0.042194093,0.4803082,0.082853855,0.776905658,0.536261249,0.141449262,0.391296045,0.105168823,0.36207138,0.051843621
Timor-Leste,2,0.000854486,0.000958772,0.000423969,0.009921669,0.053035489,0.079433744,0.887323944,0.013889442,0.578330893,0.566885965,0.19343126,0.001532338,0.00912926,0.918557357,0.001556686,0.435430464,0.001336106,8.59E-06,0.277793209,0.000586466,0.008950592,0.002458081,0.000386289,0.063291139,0.156619292,0.46260069,0.847271698,0.30252485,0.70185149,0.132912227,0.104747821,0.254650469,0.000109465
