country,water security index,Net official development assistance and official aid received (current US$),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Mortality rate, infant (per 1,000 live births)",GDP per capita (current US$),Gross domestic savings (% of GDP),RSA,rural water supply,urban water supply,ARA,Health,2018 EPI SCORE,Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2)_x,GDP per capita (current US$/inhab),Human Development Index (HDI) [highest = 1] (-),Groundwater: accounted outflow to other countries (10^9 m3/year),Produced municipal wastewater (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year),Collected municipal wastewater (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year),Treated municipal wastewater (km<sup>3</sup>/year or 10^9m<sup>3</sup>/year),Number of municipal wastewater treatment facilities (-),Capacity of the municipal wastewater treatment facilities (10^9 m3/yr),SDG 6.4.1. Water Use Efficiency (US$/m3)_x,Non-irrigated cultivated area drained (1000 ha),Flood occurrence (WRI) (-),Population affected by water related disease (1000 inhabitants),Total renewable water resources per capita (m3/inhab/yr),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3)_y,Resilience and securityStorage ,water productivity(industry),water productivity(Total agricultural production_US$)
Fiji,2,145899993.9,29.65129995,5.292099118,21.3,6101.030839,20.65760679,95.32935799,88.7010264,97.83218939,-0.062732413,4.640693763,53.09,400.76,504.742,48.02731253,5912.155229,0.721,,,,,,,40.94970719,,,,32537.13279,0.05,0.0096,0.0253,96.75665758,0.29737303,0.29737303,40.94970719,0.133036,48.06182693,734000000
Georgia,3,447440002.4,19.52912105,14.67352639,8.9,4357.000936,16.30529714,95.25108591,96.15609516,99,0.095460959,3.575140702,55.69,1634.019,2278.042,57.5138594,4151.94766,0.783,,,,0.009,,,7.350328656,132.9,3.6,,15798.07599,1.060819084,0.402206288,0.359974628,454.75908,2.878572557,5.938110749,7.350328656,3.4139,9.228519699,2840000000
India,2,3198139893,27.47869957,5.983113317,31.4,1981.65105,30.23357635,72.0122331,90.99546177,95.99302392,0.267978519,17162.14101,30.57,889216.746,449963.381,407.2319172,1960.222536,0.643,,15.45,,4.416,498,4.573,2.820582855,,3.9,44000,1427.45435,688,17,56,568.4717988,33.88455702,66.49209283,2.820582855,247.4626545,4.107218064,6.31E+11
Indonesia,3,280190002.4,26.9149015,5.68194834,21.7,3837.651731,33.60385587,80.25182657,81.98209522,95.45090538,0.348521978,1279.595423,46.92,119696.518,144294.861,133.6939055,3846.426581,0.704,,14.29,,,26,0.301,3.745190995,,3.1,5.111,7627.78256,189.7,9.135,23.8,841.2400903,11.02863229,29.69654528,3.745190995,24.000736,4.898058092,3.87E+11
Japan,4,,12.81439044,27.10947942,1.9,38386.51115,24.9403093,,,,,141.1279905,74.69,10791.174,116693.276,337.335569,38121.90866,0.913,,16.93,12.02,11.56,2148,14.71,54.79946858,,3,,3372.476941,54.43,11.61,15.41,638.8098764,18.88883721,37.34344828,54.79946858,31.47347,75.72401907,1.29E+12
Kazakhstan,3,59490001.68,27.91486005,7.136823252,9.3,9247.581331,36.87607392,97.03486214,92.31445982,98.09276673,0.233850226,30.74767741,54.56,7766.771,10437.728,6.635107978,9162.888194,0.813,,0.33,,0.274,65,0.365,7.13553973,0,1.7,3.22,5996.122017,15.12,6.984,2.347,1352.376897,20.70842173,31.13730929,7.13553973,79.9469,8.731841291,50700000000
Kiribati,2,77150001.53,35.14602568,3.824523905,42.3,1640.500104,-57.37360758,,,,,1.67440406,55.26,54.402,61.996,140.9358025,1594.344097,0.623,,,,,,,,,,,,,,,,,,,,,26800000
Democratic People's Republic of Korea,4,,,,,,,89.91585721,90.18529665,97.20101723,-0.111704871,53.39483547,,9768.556,15722.409,210.965862,684.600808,,,,,,,,1.739039425,,3,,3033.839203,6.61,1.145,0.9028,340.4584971,11.222035,27.7404678,1.739039425,21.226366,,7030000000
Kyrgyz Republic,3,464970001.2,32.18067726,4.412807467,18,1242.769643,0.790328379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.862531519,
Lao PDR,2,480359985.4,32.88293529,3.991551891,38.9,2423.846203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.621228563,
Malaysia,3,-29250000,24.34379096,6.433952021,7.1,10259.18178,32.4156551,99,89.33715854,99,-0.016205857,125.9200254,59.22,7764.814,23859.45,94.02855502,10085.77479,0.802,,4.227,,2.603,8291,3.138,55.02887889,600,3.1,7,18646.73207,2.505,1.641,1.342,176.4366648,1.15637931,3.43948718,55.02887889,22.450184,54.43193711,1.13E+11
Maldives,3,46479999.54,20.39496215,3.778389289,7.6,9577.625194,38.23133783,99,99,98.30332325,0.021396721,0.278149755,52.14,264.503,171.827,1654.673333,10854.16923,0.716,,0.0037,,,,,,0,,,60.43488946,0,0.0003,0.0056,11.88552826,15.66666667,15.66666667,,0,827.7647651,456000000
Marshall Islands,2,72510002.14,,,27.9,3666.695374,-29.50277385,91.10629561,94.35404,86.69738579,,,,12.413,40.714,322.5444444,3910.437649,0.696,,,,,,,,,,,,,,,,,,,,,16300000
Micronesia (Federated States of),2,,,,,,,,,,,0.675337631,,81.683,23.861,159.2271429,3435.533995,0.612,,,,,,,,,,,,,,,,,,,,,11700000
Mongolia,3,765590026.9,29.94977818,3.993819742,15.1,3669.41754,33.73449077,66.32877723,55.87466912,96.01106821,0.555165112,7.31768158,57.51,973.037,2102.61,1.990763858,3717.473332,0.729,,0.146,,0.12,115,,22.25559069,,1.3,,11176.10523,0.2509,0.1662,0.0453,148.5008925,1.328735632,3.395007342,22.25559069,0.25,26.91887449,4130000000
Myanmar,2,1542339966,26.84669288,5.561057877,38.2,1291.542413,25.78298826,76.00268792,76.90591354,92.96070408,1.442465901,540.357545,45.32,37187.526,16183.083,78.89470316,1245.826398,0.577,,,,0,,,1.772520971,,3.2,,21876.07356,29.57,0.4984,3.323,625.5118365,2.845607125,5.801501397,1.772520971,15.53,2.381762803,23200000000
Nauru,2,25760000.23,,,27.2,8510.868408,,65.59552643,,99,0.218547657,,,0,11.359,528.65,11778.66744,,,,,,,,,,,,945.8053533,,,,,,,,,,39100000
Nepal,2,1269650024,31.33651056,5.664687404,27.4,911.4442665,13.43081703,67.2568861,88.73224089,89.14601392,-0.225527838,310.1552068,31.44,23638.57,5666.428,187.7475268,873.142986,0.574,,,,0.006,,,2.127185275,,4.5,,7606.934702,9.32,0.0295,0.1476,343.6908637,4.518125595,8.311832662,2.127185275,0.0853,2.266709276,3090000000
New Zealand,4,,19.71616964,15.32945104,4.2,42849.42632,24.95295811,99,99,99,0,1.171849048,75.96,636.894,4068.924,17.56390871,43651.46822,0.92,,,,0.284,,,33.30312278,,1.7,,69544.37165,3.207,1.184,0.81,1106.117055,3.019877676,8.04808476,33.30312278,16.8877,18.31397049,36300000000
Niue,3,,,,,,,,,,,,,0.905,0.713,6.188461539,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,2,2364310059,35.47862104,4.313836053,58.8,1464.993305,6.812339584,76.61905036,89.88374298,94.2240858,-0.054451067,3593.462911,37.5,125220.255,71795.7,261.1558962,1538.413187,0.558,,3.06,,0.0306,8,0.1237,1.435567923,0,3.9,,1187.073735,172.4,1.4,9.65,882.3690302,81.03727715,122.6918594,1.435567923,27.80822847,1.200981076,48900000000
Palau,3,22149999.62,,,16.8,16066.19497,0.387652443,99,99,99,0.234897539,,,4.484,17.245,38.71304348,13176.94095,0.811,,,,,,,,,,,,,,,,,,,,,15900000
Papua New Guinea,2,532630004.9,36.13842131,3.379222369,37.8,2695.251883,,47.84349822,34.62688693,85.7653619,0.159001276,319.107765,39.35,7170.073,1081.089,18.23099991,2667.000159,0.543,,,,,,,,0,1.6,,94927.30299,0.001,0.1676,0.2235,46.46815918,0.048951311,0.132242833,,0,52.77430367,6340000000
Philippines,3,160479995.7,31.46800852,4.937096691,22.7,3123.234229,16.49498583,78.48698699,89.9595977,97.6901543,0.279507488,858.7419564,57.65,55939.801,48978.289,350.5764167,2989.185417,0.709,,1.259,,,31,0.136,3.375686298,0,4,866.4,4554.404092,67.97,15.85,8.929,881.8714512,19.36325679,28.35524304,3.375686298,7.105,3.45023504,85800000000
Samoa,3,136220001.2,38.54119743,4.688459806,13.7,4259.765001,,98.4617263,96.79035539,99,0.592174649,0.528344291,54.5,160.194,36.246,68.78591549,4197.37637,0.706,,,,,,,,,,,,,,,,,,,0.01,,108000000
Singapore,4,,12.21245608,10.57989948,2.1,60913.74533,54.51476246,99,,99,0,7.631517468,64.23,0,5708.844,7938.860918,58974.9681,0.934,,0.511,0.511,0.5954,,0.531,,,2.9,,105.1148722,0.026376,0.336294,0.29673,115.5212445,82.01666667,82.01666667,,0.0749,654.3887222,74200000000
Solomon Islands,2,186809997.6,40.35381478,3.572422446,17.9,2332.814874,,77.90905232,60.60177274,91.41077689,0.056427371,7.932105372,43.22,468.983,142.36,22.0082699,1961.155429,0.555,,,,,,,,,,,70278.70932,,,,,,,,,,162000000
Sri Lanka,2,316170013.4,24.40708628,10.12359315,6.7,4077.043721,24.37103323,94.8190229,87.71959694,96.94881553,0.093217328,36.97506932,60.61,17038.849,3838.068,322.0245694,4216.125203,0.776,,0.1181,,,,,5.814464248,,3.7,120,2499.049604,11.31,0.831,0.805,612.7404578,24.51893939,90.78541374,5.814464248,5.942,6.394026201,23200000000
Tajikistan,2,328190002.4,36.45241337,2.982714035,31.3,806.0415731,-0.219616456,94.94339958,75.63837836,96.2369121,0.343522519,50.96401455,47.85,6514.203,2407.14,62.81134531,802.326545,0.651,,4.7,,0.1522,,0.087,0.68550315,0,3.7,,2467.26788,10.44,0.4078,0.647,1294.420394,47.55727978,68.74125874,0.68550315,29.505,0.873435399,1930000000
Thailand,2,250220001.2,17.35382166,11.43696392,8.4,6592.914902,34.77438585,99,99,99,0.113571875,223.3157321,49.88,35071.057,33966.456,134.8803594,6594.608057,0.762,,5.11,1.168,1.168,101,1.168,7.234318206,,3.7,960,6337.396389,51.79,2.777,2.739,828.0040069,13.06559358,23.01393518,7.234318206,79.2309,7.409830267,1.47E+11
Timor-Leste,2,231960006.7,38.30234754,4.359593906,40.5,1286.405751,-17.80171435,75.92583444,69.69430257,98.323865,,17.1930108,49.54,904.669,391.642,83.60847344,1918.728945,0.624,,,,,,,2.229719288,,2.2,,6607.638962,1.071,0.002,0.099,942.6844629,14.26658551,28.26821032,2.229719288,,0.918340664,1140000000
Tonga,3,87230003.36,35.78305457,5.96482284,14.5,4513.609531,,96.59960695,99,99,0.141629532,0.305167748,62.49,82.993,25.027,135.9973333,4558.478241,0.717,,,,,,,,,,,,,,,,,,,,,64300000
Turkmenistan,3,28139999.39,30.91031489,4.277496423,36.7,6587.090316,,97.97476117,97.572682,99,0.223187536,38.66824527,66.1,2812.629,2945.446,11.79608072,6584.696357,0.708,,0.268,,0.336,1,,1.436789537,0,1.8,12.29,4301.221311,26.36,0.839,0.755,4855.091481,112.5176661,143.5600206,1.436789537,5.5945,1.512111928,21400000000
Tuvalu,2,28530000.69,,,21.5,3572.493579,,82.75888889,98.78,99,,,,4.306,6.886,379,3923.561196,,,,,,,,,,,,,,,,,,,,,,6492014.996
Uzbekistan,3,639140014.6,28.51832389,4.264759603,17.6,1826.566919,26.9299817,99,96.07258236,99,0.254053056,55.93672841,45.88,15779.684,16130.957,71.43447698,1853.925426,0.707,,0.3397,,,,,1.337755258,0,2.7,271.8,1529.10916,54.36,2.13,2.41,1842.941059,120.5238388,168.9131058,1.337755258,22.0119,1.259460861,13600000000
Vanuatu,2,132699996.9,38.86238661,3.67377675,22.9,3082.356323,,48.29092592,88.48513287,99,0.215787977,3.543310439,44.55,206.733,69.511,23.4216571,3185.75966,0.595,,,,,,,,,,,35025.04291,,,,,,,,,,74000000
Vietnam,2,2407489990,23.09755109,7.031027948,16.6,2365.621666,25.45799769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.141214252,
